Wildermuth2017_ComplexReduced,Air.Temperature,Protected.Species,Mid.Atlantic.Groundfish,Habitat..Seafloor...Demersal,Winds,Habitat..Pelagic,Cultural.Practices...Attachments,Recreational.Groundfish.Fishery,Detritus...Bacteria,Bottom.Temperature,Surface.Salinity,Stratification,Employment,Source.Water.Proportions,Commercial.Pelagic.Fishery,Seafood,Commercial.Shellfish.Fishery,Groundfish,Benthos,Primary.Production,Habitat..Nearshore,Profits,Commercial.Groundfish.Fishery,Fished.Invertebrates,Bottom.Salinity,Gelatinous.Zooplankton,Surface.Temperature,Copepods...Micronekton,Forage.Fish,Precipitation,Tidal.Forcing
Air.Temperature,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protected.Species,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,-1,0,0,0,0,1,1,0,0
Mid.Atlantic.Groundfish,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habitat..Seafloor...Demersal,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0
Winds,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habitat..Pelagic,0,0,0,0,1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cultural.Practices...Attachments,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Recreational.Groundfish.Fishery,1,0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Detritus...Bacteria,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottom.Temperature,1,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface.Salinity,1,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stratification,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Employment,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Source.Water.Proportions,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial.Pelagic.Fishery,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Seafood,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Commercial.Shellfish.Fishery,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Groundfish,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,-1,1,0,0,0,0,1,0,0
Benthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0
Primary.Production,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Habitat..Nearshore,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0
Profits,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0
Commercial.Groundfish.Fishery,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0
Fished.Invertebrates,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,0,-1,0,0,0,0,0,0,0
Bottom.Salinity,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Gelatinous.Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Surface.Temperature,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Copepods...Micronekton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0
Forage.Fish,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,-1,0,1,-1,0,0
Precipitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Tidal.Forcing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
