"","Amoeba","Bacteria","Bacteriophagous mites","Bacteriophagous nematodes","Collembola","Cryptostigmatic mites","Enchytraeids","Flagellates","Fungi","Fungivorous nematodes","Nematophagous mites","Noncryptosomatic mites","Phytophagous nematodes","Predatory collembola","Predatory mites","Predatory nematodes","Detritus","Roots"
"Amoeba",-5,0.303684605529764,0,0,0,0,0,0.303684605529764,0,0,0,0,0,0,0,-1.15334331586849,0,0
"Bacteria",-15.7685323773272,-5,-13.1837397259492,-18.6023853676893,0,0,-4.16723145627796,-17.9083468450123,0,0,0,0,0,0,0,-22.7567740121493,0.18922152698216,0
"Bacteriophagous mites",0,1.01413382507301e-05,-5,0,0,0,0,0,0,0,0,0,0,0,-0.00735676302426932,0,0,0
"Bacteriophagous nematodes",0,0.00544579721093674,0,-5,0,0,0,0,0,0,-3.48776183226168,0,0,-6.27797129807103,-2.2070289072808,-0.0300089327632738,0,0
"Collembola",0,0,0,0,-5,0,0,0,0.509090418994985,0.509090418994985,0,0,0,0,-3.45767862140658,0,0,0
"Cryptostigmatic mites",0,0,0,0,0,-5,0,0,0.00782701620676574,0.00782701620676574,0,0,0,0,-0.0735676302426932,0,0,0
"Enchytraeids",0,0.0007876525389888,0,0,0,0,-5,0,0.000787652538988801,0.000787652538988801,0,0,0,0,0,0,0.000787652538988801,0
"Flagellates",-0.0367354820219051,0.0158538068333427,0,0,0,0,0,-5,0,0,0,0,0,0,0,-0.053015781215117,0,0
"Fungi",0,0,0,0,-13.1837397259492,-9.5265968688063,-0.0390162769313057,0,-5,-23.9667820172619,0,-13.1837397259492,0,0,0,0,0.00441816719794583,0
"Fungivorous nematodes",0,0,0,0,-13.1837397259492,-9.5265968688063,-0.0390162769313057,0,0.126562612267682,-5,-0.930069821936448,-13.1837397259492,0,-1.67412567948561,-0.588541041941546,-0.00800238207020634,0.00441816719794583,0
"Nematophagous mites",0,0,0,0.109864497716243,0,0,0,0,0,0.109864497716243,-5,0,0.109864497716243,0,-0.22070289072808,0.109864497716243,0,0
"Noncryptosomatic mites",0,0,0,0,0,0,0,0,0.021663422084893,0.021663422084893,0,-5,0,0,-0.147135260485386,0,0,0
"Phytophagous nematodes",0,0,0,0,0,0,0,0,0,0,-2.20891582709906,0,-5,-3.97604848877832,-1.39778497461117,-0.0190056574167401,0,0.00160216204936378
"Predatory collembola",0,0,0,0.109864497716243,0,0,0,0,0,0.109864497716243,0,0,0.109864497716243,-5,-0.22070289072808,0.109864497716243,0,0
"Predatory mites",0,0,0.0981024349286314,0.0981024349286314,0.0981024349286314,0.0981024349286314,0,0,0,0.0981024349286314,0.0981024349286314,0.0981024349286314,0.0981024349286314,0.0981024349286314,-5,0.0981024349286314,0,0
"Predatory nematodes",0.00111033051224113,0.00111033051224113,0,0.00111033051224113,0,0,0,0.00111033051224113,0,0.00111033051224113,-0.697552366452336,0,0.00111033051224113,-1.25559425961421,-0.441405781456159,-5,0,0
"Detritus",0,-6.93119146454799,0,0,0,0,-45.7937522667907,0,-17.2854741703671,-17.2854741703671,0,0,0,0,0,0,-5,0
"Roots",0,0,0,0,0,0,0,0,0,0,0,0,-27.3484275851571,0,0,0,0,-5
